CID,SMILES,Agonist_Activity,Agonist_Potency (uM),Agonist_Efficacy (%),Viability_Activity,Viability_Potency (uM),Viability_Efficacy (%),SMILES_raw
32872.0,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,active,7.127300592,47.71829111,inactive,,0.0,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C
6420010.0,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,active,7.215516244,62.07577333,inactive,,0.0,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3=CC=CC=C3)Cl)N.C(=C\C(=O)O)\C(=O)O
79717.0,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,active,7.438341298,36.87698068,active antagonist,52.6594,-40.9896,CC1=CC(=CC(=C1O)C)C(C)(C)C2=CC(=C(C(=C2)C)O)C
14869.0,O=C(Nc1ccccc1)c1cc(Cl)ccc1O,active,7.695882154,53.7586965,active antagonist,24.3365,-52.8618,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)Cl)O
7693.0,O=C=Nc1ccc(Cl)cc1,active,7.695882154,33.14884101,inactive,,0.0,C1=CC(=CC=C1N=C=O)Cl
9131.0,c1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45,active,7.791135224,127.6344798,active agonist,23.7101,143.862,C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3
33334.0,COc1ccc2nc(NC(=O)Nc3ccccc3)sc2c1,active,7.791135224,106.2547737,inactive,,0.0,COC1=CC2=C(C=C1)N=C(S2)NC(=O)NC3=CC=CC=C3
8691.0,Nc1ccc(N=Nc2ccccc2)c(N)n1,active,7.791135224,82.22458405,inactive,,0.0,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl
17113.0,Cc1ccc(O)c(-n2nc3ccccc3n2)c1,active,7.791135224,64.97602785,inactive,,0.0,CC1=CC(=C(C=C1)O)N2N=C3C=CC=CC3=N2
4115.0,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,active,8.029949747,149.5905681,inactive,,0.0,COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
10021362.0,Oc1ccc2c(c1)OC[C@@H](N1CCC(O)(c3ccc(F)cc3)CC1)[C@H]2O,active,8.095942383,105.4480973,inactive,,0.0,C1CN(CCC1(C2=CC=C(C=C2)F)O)[C@@H]3COC4=C([C@@H]3O)C=CC(=C4)O
7472.0,CN(C)c1ccc(N)cc1,active,8.107421164,70.2103783,active antagonist,59.6416,-114.929,CN(C)C1=CC=C(C=C1)N
5757.0,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,active,8.15189184,23.50119883,inactive,,0.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O
5281567.0,COC1=CC(=O)O[C@@H](/C=C/c2ccc3c(c2)OCO3)C1,active,8.26743358,49.98380676,inactive,,0.0,COC1=CC(=O)O[C@H](C1)/C=C/C2=CC3=C(C=C2)OCO3
6828.0,CCN(C(=O)N(CC)c1ccccc1)c1ccccc1,active,8.309822402,40.44972089,inactive,,0.0,CCN(C1=CC=CC=C1)C(=O)N(CC)C2=CC=CC=C2
54339.0,c1ccc(CCNc2nc(-c3ccccc3)cs2)cc1,active,8.412674301,79.02065918,inactive,,0.0,C1=CC=C(C=C1)CCNC2=NC(=CS2)C3=CC=CC=C3
5343.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1,active,8.412674301,36.61543163,inactive,,0.0,CC1=CC(=NC(=N1)C)NS(=O)(=O)C2=CC=C(C=C2)N
71873.0,CCCCCCCCCCCCCCNCCO,active,8.412674301,23.5,inactive,,0.0,CCCCCCCCCCCCCCNCCO.CC(C(=O)O)O
6450278.0,CC=C1C(=O)C[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,active,8.462327599,20.83272509,inactive,,0.0,C/C=C/1\C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
5125.0,CCCCSP(=O)(SCCCC)SCCCC,active,8.634921799,44.56136787,inactive,,0.0,CCCCSP(=O)(SCCCC)SCCCC
456201.0,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,active,8.634921799,29.24128098,active antagonist,38.5708,-82.2861,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
19756.0,c1coc(-c2nc3ccccc3[nH]2)c1,active,8.634921799,54.94112776,inactive,,0.0,C1=CC=C2C(=C1)NC(=N2)C3=CC=CO3
7104.0,O=C(O)c1cc2ccccc2cc1O,active,8.634921799,50.48960875,inactive,,0.0,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O
83656.0,CCc1cc(Cc2cc(CC)c(N)c(CC)c2)cc(CC)c1N,active,8.634921799,44.45322559,inactive,,0.0,CCC1=CC(=CC(=C1N)CC)CC2=CC(=C(C(=C2)CC)N)CC
