Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB_maestra,ID_concatenda,DB source,DB subsource,Risk assessment class,Human eco,Species,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,DB reference source,URL,,ToxVal_ ID,Chemical_ID
,Pyrimethanil,53112-28-0,Cc1nc(Nc2ccccc2)nc(C)c1,DTXSID8034877,,2415,2415_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,199.256,0.0005,3.2994,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance pyrimethanil 20060221,https://doi.org/doi:10.2903/j.efsa.2006.61r,,920533,ToxVal00035_96efec29167589cf
,Fenamiphos,22224-92-6,CCOP(N(C(C)C)c(cc1)cc(C)c1SC)(O)=O,DTXSID3024102,,2416,2416_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.45,ug/piece,303.362,0.0000,5.8287,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance fenamiphos 20060307,https://doi.org/doi:10.2903/j.efsa.2006.62r,,920534,ToxVal00035_b85469089f7427ff
,Formetanate hydrochloride,23422-53-9,CNC(Oc1cc(N=CN(C)C)ccc1)=O,DTXSID4032405,,2417,2417_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,1.02,ug/piece,221.259,0.0000,5.3363,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance formetanate 20060613,https://doi.org/doi:10.2903/j.efsa.2006.69r,,920543,ToxVal00035_8ee8d61dd6b3e489
,Phosmet,732-11-6,COP(OC)(SCN(C(c1c2cccc1)=O)C2=O)=S,DTXSID5024261,,2418,2418_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.37,ug/piece,317.325,0.0000,5.9333,,Conclusion regarding the peer review of the pesticide risk assessment of the active substance phosmet 20060621,https://doi.org/doi:10.2903/j.efsa.2006.75r,,920544,ToxVal00035_26ed05659a16eeb5
,Indoxacarb,173584-44-6,COC([C@@]1(C2)OCN(C(N(C(OC)=O)c(cc3)ccc3OC(F)(F)F)=O)N=C1c(cc1)c2cc1Cl)=O,DTXSID1032690,,2419,2419_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.232,ug/piece,527.838,0.0000,6.3570,,Peer review of the pesticide risk assessment of the active substance indoxacarb 20180125,https://doi.org/doi:10.2903/j.efsa.2018.5140,,920547,ToxVal00035_c1b4b656945837e7
,Indoxacarb,173584-44-6,COC([C@@]1(C2)OCN(C(N(C(OC)=O)c(cc3)ccc3OC(F)(F)F)=O)N=C1c(cc1)c2cc1Cl)=O,DTXSID1032690,,2420,2420_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0682,ug/piece,527.838,0.0000,6.8887,,Peer review of the pesticide risk assessment of the active substance indoxacarb 20180125,https://doi.org/doi:10.2903/j.efsa.2018.5140,,920548,ToxVal00035_c1b4b656945837e7
,Desmedipham,13684-56-5,CCOC(Nc1cccc(OC(Nc2ccccc2)=O)c1)=O,DTXSID0034518,,2421,2421_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,100.6,ug/piece,300.313,0.0003,3.4750,,Peer review of the pesticide risk assessment of the active substance desmedipham 20180131,https://doi.org/doi:10.2903/j.efsa.2018.5150,,920553,ToxVal00035_146d64f7826fe2da
,Desmedipham,13684-56-5,CCOC(Nc1cccc(OC(Nc2ccccc2)=O)c1)=O,DTXSID0034518,,2422,2422_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,300.313,0.0003,3.4776,,Peer review of the pesticide risk assessment of the active substance desmedipham 20180131,https://doi.org/doi:10.2903/j.efsa.2018.5150,,920554,ToxVal00035_146d64f7826fe2da
,Dicopper chloride trihydroxide,1332-65-6,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2],DTXSID6034475,,2423,2423_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,12.1,ug/piece,213.566,0.0001,4.2467,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920576,ToxVal00035_57c0c7a6996274b4
,Dicopper chloride trihydroxide,1332-65-6,[OH-].[OH-].[OH-].[Cl-].[Cu+2].[Cu+2],DTXSID6034475,,2424,2424_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,44.3,ug/piece,213.566,0.0002,3.6831,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920577,ToxVal00035_57c0c7a6996274b4
,Copper hydroxide (Cu(OH)2),20427-59-2,O.O.[Cu],DTXSID6034473,,2425,2425_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,49,ug/piece,99.5758,0.0005,3.3080,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920578,ToxVal00035_539b6c04803ffda2
,Bordeaux mixture,8011-63-0,,DTXSID301019885,,2426,2426_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,23.3,ug/piece,,#¡DIV/0!,#¡DIV/0!,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920583,ToxVal00035_50c44bc56891c025
,Bordeaux mixture,8011-63-0,,DTXSID301019885,,2427,2427_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,25.2,ug/piece,,#¡DIV/0!,#¡DIV/0!,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920584,ToxVal00035_50c44bc56891c025
,Copper hydroxide sulfate (Cu4(OH)?6(SO4)?),1333-22-8,,DTXSID6057958,,2428,2428_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,40,ug/piece,,#¡DIV/0!,#¡DIV/0!,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920585,ToxVal00035_ecb55289007a850f
,Copper hydroxide sulfate (Cu4(OH)?6(SO4)?),1333-22-8,,DTXSID6057958,,2429,2429_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,23.5,ug/piece,,#¡DIV/0!,#¡DIV/0!,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920586,ToxVal00035_ecb55289007a850f
,Cuprous oxide,1317-39-1,O=[Cu-],DTXSID0034489,,2430,2430_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,116,ug/piece,79.545,0.0015,2.8362,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920587,ToxVal00035_c96fdc75be6f9a96
,Cuprous oxide,1317-39-1,O=[Cu-],DTXSID0034489,,2431,2431_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,82.5,ug/piece,79.545,0.0010,2.9842,,"Peer review of the pesticide risk assessment of the active substance copper compounds copper(I), copper(II) variants namely copper hydroxide, copper oxychloride, tribasic copper sulfate, copper(I) oxide, Bordeaux mixture 20180116",https://doi.org/doi:10.2903/j.efsa.2018.5152,,920588,ToxVal00035_c96fdc75be6f9a96
,Fenpicoxamid,517875-34-2,CC(C)C(OCOc(c(C(N[C@@H](COC([C@H](Cc1ccccc1)[C@H]([C@H](C)O1)OC(C(C)C)=O)=O)C1=O)=O)ncc1)c1OC)=O,DTXSID80895118,,2432,2432_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,303,ug/piece,614.646,0.0005,3.3072,,Peer review of the pesticide risk assessment of the active substance fenpicoxamid (XDE-777) 20180131,https://doi.org/doi:10.2903/j.efsa.2018.5146,,920596,ToxVal00035_069b578d627c9741
,Fenpicoxamid,517875-34-2,CC(C)C(OCOc(c(C(N[C@@H](COC([C@H](Cc1ccccc1)[C@H]([C@H](C)O1)OC(C(C)C)=O)=O)C1=O)=O)ncc1)c1OC)=O,DTXSID80895118,,2433,2433_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,202.4,ug/piece,614.646,0.0003,3.4824,,Peer review of the pesticide risk assessment of the active substance fenpicoxamid (XDE-777) 20180131,https://doi.org/doi:10.2903/j.efsa.2018.5146,,920597,ToxVal00035_069b578d627c9741
,Abamectin,71751-41-2,CC[C@H](C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O.CC(C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O,DTXSID8023892,,2434,2434_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.00528,ug/piece,1732.14,0.0000,8.5159,,Peer review of the pesticide risk assessment of the active substance abamectin 20160524,https://doi.org/doi:10.2903/j.efsa.2016.4491,,920617,ToxVal00035_805c78828b5c2e08
,Pendimethalin,40487-42-1,CCC(CC)Nc(c([N+]([O-])=O)cc(C)c1C)c1[N+]([O-])=O,DTXSID7024245,,2435,2435_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,101.2,ug/piece,281.311,0.0004,3.4440,,Peer review of the pesticide risk assessment of the active substance pendimethalin 20160317,https://doi.org/doi:10.2903/j.efsa.2016.4420,,920646,ToxVal00035_01a3a2b4e2343014
,Pendimethalin,40487-42-1,CCC(CC)Nc(c([N+]([O-])=O)cc(C)c1C)c1[N+]([O-])=O,DTXSID7024245,,2436,2436_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,281.311,0.0004,3.4492,,Peer review of the pesticide risk assessment of the active substance pendimethalin 20160317,https://doi.org/doi:10.2903/j.efsa.2016.4420,,920647,ToxVal00035_01a3a2b4e2343014
,Clothianidin,210880-92-5,CN/C(\NCc([s]1)cnc1Cl)=N\[N+]([O-])=O,DTXSID2034465,,2437,2437_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0258,ug/piece,249.682,0.0000,6.9858,,Peer review of the pesticide risk assessment for bees for the active substance clothianidin considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5177,,920652,ToxVal00035_eb3b63235c4c7de4
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,2438,2438_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0258,ug/piece,291.718,0.0000,7.0533,,Peer review of the pesticide risk assessment for bees for the active substance clothianidin considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5177,,920653,ToxVal00035_527cd13f59da8c0b
,Clothianidin,210880-92-5,CN/C(\NCc([s]1)cnc1Cl)=N\[N+]([O-])=O,DTXSID2034465,,2439,2439_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.00379,ug/piece,249.682,0.0000,7.8187,,Peer review of the pesticide risk assessment for bees for the active substance clothianidin considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5177,,920654,ToxVal00035_eb3b63235c4c7de4
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,2440,2440_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.00379,ug/piece,291.718,0.0000,7.8863,,Peer review of the pesticide risk assessment for bees for the active substance clothianidin considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5177,,920655,ToxVal00035_527cd13f59da8c0b
,Imidacloprid,138261-41-3,[O-][N+](/N=C1/N(Cc(cc2)cnc2Cl)CCN/1)=O,DTXSID5032442,,2441,2441_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0251,ug/piece,255.664,0.0000,7.0080,,Peer review of the pesticide risk assessment for bees for the active substance imidacloprid considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5178,,920656,ToxVal00035_95f21b4755b982f1
,Imidacloprid,138261-41-3,[O-][N+](/N=C1/N(Cc(cc2)cnc2Cl)CCN/1)=O,DTXSID5032442,,2442,2442_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.0037,ug/piece,255.664,0.0000,7.8395,,Peer review of the pesticide risk assessment for bees for the active substance imidacloprid considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5178,,920657,ToxVal00035_95f21b4755b982f1
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,2443,2443_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0121,ug/piece,291.718,0.0000,7.3822,,Peer review of the pesticide risk assessment for bees for the active substance thiamethoxam considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5179,,920658,ToxVal00035_527cd13f59da8c0b
,Thiamethoxam,153719-23-4,CN(COCN1Cc([s]2)cnc2Cl)/C\1=N/[N+]([O-])=O,DTXSID2034962,,2444,2444_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.005,ug/piece,291.718,0.0000,7.7660,,Peer review of the pesticide risk assessment for bees for the active substance thiamethoxam considering the uses as seed treatments and granules 20180228,https://doi.org/doi:10.2903/j.efsa.2018.5179,,920659,ToxVal00035_527cd13f59da8c0b
,Hexythiazox,78587-05-0,C[C@H]([C@@H](c(cc1)ccc1Cl)S1)N(C(NC2CCCCC2)=O)C1=O,DTXSID7024299,,2445,2445_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,200,ug/piece,352.885,0.0006,3.2466,,Conclusion on the peer review of the pesticide risk assessment of the active substance hexythiazox 20101014,https://doi.org/doi:10.2903/j.efsa.2010.1722,,920662,ToxVal00035_9239318e456a009b
,Abamectin,71751-41-2,CC[C@H](C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O.CC(C)[C@H]([C@@H](C)C=C1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C\3=C/C=C/[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O,DTXSID8023892,,2446,2446_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.00198,ug/piece,1732.14,0.0000,8.9419,,Peer review of the pesticide risk assessment of the active substance abamectin 20160524,https://doi.org/doi:10.2903/j.efsa.2016.4491,,920663,ToxVal00035_805c78828b5c2e08
,Clopyralid,1702-17-6,OC(c(nc(cc1)Cl)c1Cl)=O,DTXSID9029221,,2447,2447_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,100,ug/piece,192.001,0.0005,3.2833,,Peer review of the pesticide risk assessment of the active substance clopyralid 20180803,https://doi.org/doi:10.2903/j.efsa.2018.5389,,920703,ToxVal00035_330f5060840d5053
,Clopyralid,1702-17-6,OC(c(nc(cc1)Cl)c1Cl)=O,DTXSID9029221,,2448,2448_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,98.1,ug/piece,192.001,0.0005,3.2916,,Peer review of the pesticide risk assessment of the active substance clopyralid 20180803,https://doi.org/doi:10.2903/j.efsa.2018.5389,,920704,ToxVal00035_330f5060840d5053
,Florpyrauxifen-benzyl,1390661-72-9,COc(c(F)c(cc1)-c(nc(C(OCc2ccccc2)=O)c(Cl)c2N)c2F)c1Cl,DTXSID00894941,,2449,2449_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,105.4,ug/piece,439.244,0.0002,3.6199,,Peer review of the pesticide risk assessment of the active substance florpyrauxifen (variant assessed florpyrauxifen-benzyl) 20180806,https://doi.org/doi:10.2903/j.efsa.2018.5378,,920706,ToxVal00035_ffeee3bc1d42984d
,Florpyrauxifen-benzyl,1390661-72-9,COc(c(F)c(cc1)-c(nc(C(OCc2ccccc2)=O)c(Cl)c2N)c2F)c1Cl,DTXSID00894941,,2450,2450_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,439.244,0.0002,3.6427,,Peer review of the pesticide risk assessment of the active substance florpyrauxifen (variant assessed florpyrauxifen-benzyl) 20180806,https://doi.org/doi:10.2903/j.efsa.2018.5378,,920707,ToxVal00035_ffeee3bc1d42984d
,1-Methylcyclopropene,3100-04-7,CC1=CC1,DTXSID2035643,,2451,2451_EFSADB,EFSA,EFSA,acute,eco,tiger worm,-,>,4.41,-,54.0916,0.0001,4.0887,,Peer review of the pesticide risk assessment of the active substance 1-methylcyclopropene 20180703,https://doi.org/doi:10.2903/j.efsa.2018.5308,,920709,ToxVal00035_4346fb283b0c5ea1
,Fosetyl aluminum,39148-24-8,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3],DTXSID1020643,,2452,2452_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,140,ug/piece,351.08,0.0004,3.3993,,Peer review of the pesticide risk assessment of the active substance fosetyl 20180703,https://doi.org/doi:10.2903/j.efsa.2018.5307,,920710,ToxVal00035_9dec504c8a98abf1
,Fosetyl aluminum,39148-24-8,CCOP(=O)=O.CCOP(=O)=O.CCOP(=O)=O.[Al+3],DTXSID1020643,,2453,2453_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,351.08,0.0003,3.5454,,Peer review of the pesticide risk assessment of the active substance fosetyl 20180703,https://doi.org/doi:10.2903/j.efsa.2018.5307,,920711,ToxVal00035_9dec504c8a98abf1
,Dichlorprop-P-2-ethylhexyl,865363-39-9,CCCCC(CC)COC([C@@H](C)Oc(ccc(Cl)c1)c1Cl)=O,DTXSID90274192,,2454,2454_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,178.1,ug/piece,347.281,0.0005,3.2900,,Peer review of the pesticide risk assessment of the active substance dichlorprop-P and variant dichlorprop-P-2-ethylhexyl 20180628,https://doi.org/doi:10.2903/j.efsa.2018.5288,,920712,ToxVal00035_f26cdb39e048b8f0
,Dichlorprop-P-2-ethylhexyl,865363-39-9,CCCCC(CC)COC([C@@H](C)Oc(ccc(Cl)c1)c1Cl)=O,DTXSID90274192,,2455,2455_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,180,ug/piece,347.281,0.0005,3.2854,,Peer review of the pesticide risk assessment of the active substance dichlorprop-P and variant dichlorprop-P-2-ethylhexyl 20180628,https://doi.org/doi:10.2903/j.efsa.2018.5288,,920713,ToxVal00035_f26cdb39e048b8f0
,Dichlorprop-P,15165-67-0,C[C@H](C(O)=O)Oc(ccc(Cl)c1)c1Cl,DTXSID0034851,,2456,2456_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,200,ug/piece,235.066,0.0009,3.0702,,Peer review of the pesticide risk assessment of the active substance dichlorprop-P and variant dichlorprop-P-2-ethylhexyl 20180628,https://doi.org/doi:10.2903/j.efsa.2018.5288,,920714,ToxVal00035_4fa2164e8b98f61f
,Dichlorprop-P,15165-67-0,C[C@H](C(O)=O)Oc(ccc(Cl)c1)c1Cl,DTXSID0034851,,2457,2457_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,200,ug/piece,235.066,0.0009,3.0702,,Peer review of the pesticide risk assessment of the active substance dichlorprop-P and variant dichlorprop-P-2-ethylhexyl 20180628,https://doi.org/doi:10.2903/j.efsa.2018.5288,,920715,ToxVal00035_4fa2164e8b98f61f
,Spinosad,-,CC[C@@H](CCC[C@@H]([C@@H](C)C(C([C@H]1C2)=C[C@@H]3[C@H]1C=C[C@H](C1)[C@H]3C[C@@H]1O[C@@H]([C@@H]([C@@H]1OC)OC)O[C@@H](C)[C@@H]1OC)=O)O[C@@H](CC1)O[C@H](C)[C@H]1N(C)C)OC2=O.CC[C@@H](CCC[C@@H]([C@@H](C)C(C([C@H]1C2)=C[C@@H]3[C@H]1C=C(C)[C@H](C1)[C@H]3C[C@@H]1O[C@@H]([C@@H]([C@@H]1OC)OC)O[C@@H](C)[C@@H]1OC)=O)O[C@@H](CC1)O[C@H](C)[C@H]1N(C)C)OC2=O,NODTXSID,,2458,2458_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.057,ug/piece,1477.96,0.0000,7.4138,,Peer review of the pesticide risk assessment of the active substance spinosad 20180503,https://doi.org/doi:10.2903/j.efsa.2018.5252,,920717,ToxVal00035_93f02c470e6282a0
,Spinosad,-,CC[C@@H](CCC[C@@H]([C@@H](C)C(C([C@H]1C2)=C[C@@H]3[C@H]1C=C[C@H](C1)[C@H]3C[C@@H]1O[C@@H]([C@@H]([C@@H]1OC)OC)O[C@@H](C)[C@@H]1OC)=O)O[C@@H](CC1)O[C@H](C)[C@H]1N(C)C)OC2=O.CC[C@@H](CCC[C@@H]([C@@H](C)C(C([C@H]1C2)=C[C@@H]3[C@H]1C=C(C)[C@H](C1)[C@H]3C[C@@H]1O[C@@H]([C@@H]([C@@H]1OC)OC)O[C@@H](C)[C@@H]1OC)=O)O[C@@H](CC1)O[C@H](C)[C@H]1N(C)C)OC2=O,NODTXSID,,2459,2459_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.0036,ug/piece,1477.96,0.0000,8.6134,,Peer review of the pesticide risk assessment of the active substance spinosad 20180503,https://doi.org/doi:10.2903/j.efsa.2018.5252,,920718,ToxVal00035_93f02c470e6282a0
,Trinexapac-ethyl,95266-40-3,CCOC(C(CC(C1=C(C2CC2)O)=O)CC1=O)=O,DTXSID9032535,,2460,2460_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,83,ug/piece,252.265,0.0003,3.4828,,Peer review of the pesticide risk assessment of the active substance trinexapac (variant evaluated trinexapac-ethyl) 20180413,https://doi.org/doi:10.2903/j.efsa.2018.5229,,920720,ToxVal00035_d5645d8c2e06848c
,Trinexapac-ethyl,95266-40-3,CCOC(C(CC(C1=C(C2CC2)O)=O)CC1=O)=O,DTXSID9032535,,2461,2461_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,100,ug/piece,252.265,0.0004,3.4019,,Peer review of the pesticide risk assessment of the active substance trinexapac (variant evaluated trinexapac-ethyl) 20180413,https://doi.org/doi:10.2903/j.efsa.2018.5229,,920721,ToxVal00035_d5645d8c2e06848c
,Phosphonic acid,13598-36-2,OP(O)=O,DTXSID2049715,,2462,2462_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,212,ug/piece,81.9948,0.0026,2.5875,,Peer review of the pesticide risk assessment of the active substance fosetyl 20180703,https://doi.org/doi:10.2903/j.efsa.2018.5307,,920736,ToxVal00035_d1b5486cdd7ac89f
,Phosphonic acid,13598-36-2,OP(O)=O,DTXSID2049715,,2463,2463_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,29.7,ug/piece,81.9948,0.0004,3.4410,,Peer review of the pesticide risk assessment of the active substance fosetyl 20180703,https://doi.org/doi:10.2903/j.efsa.2018.5307,,920737,ToxVal00035_d1b5486cdd7ac89f
,Azadirachtin,11141-17-6,C[C@@]1([C@@H](C[C@@H]2O[C@@H]3OC=C4)[C@]34O)O[C@]([C@@H]3[C@](C)([C@@H]([C@H]([C@H]4O)OC5)[C@]5([C@@H](C5)OC(C)=O)C(OC)=O)[C@H]5OC(/C(\C)=C/C)=O)(C(OC)=O)OC[C@]34[C@@]12O,DTXSID0037497,,2464,2464_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,8.1,ug/piece,720.718,0.0000,4.9493,,Peer review of the pesticide risk assessment of the active substance azadirachtin (Margosa extract) 20180914,https://doi.org/doi:10.2903/j.efsa.2018.5234,,920743,ToxVal00035_1dede2511b408e1b
,Azadirachtin,11141-17-6,C[C@@]1([C@@H](C[C@@H]2O[C@@H]3OC=C4)[C@]34O)O[C@]([C@@H]3[C@](C)([C@@H]([C@H]([C@H]4O)OC5)[C@]5([C@@H](C5)OC(C)=O)C(OC)=O)[C@H]5OC(/C(\C)=C/C)=O)(C(OC)=O)OC[C@]34[C@@]12O,DTXSID0037497,,2465,2465_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,>,11.81,ug/piece,720.718,0.0000,4.7855,,Peer review of the pesticide risk assessment of the active substance azadirachtin (Margosa extract) 20180914,https://doi.org/doi:10.2903/j.efsa.2018.5234,,920744,ToxVal00035_1dede2511b408e1b
,Methiocarb,2032-65-7,Cc1cc(OC(NC)=O)cc(C)c1SC,DTXSID3032626,,2466,2466_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,=,0.08,ug/piece,225.311,0.0000,6.4497,,Peer review of the pesticide risk assessment of the active substance methiocarb 20181030,https://doi.org/doi:10.2903/j.efsa.2018.5429,,920746,ToxVal00035_f9e8c37e1e2a683f
,Methiocarb,2032-65-7,Cc1cc(OC(NC)=O)cc(C)c1SC,DTXSID3032626,,2467,2467_EFSADB,EFSA,EFSA,acute,eco,honey bee,dermal,=,0.23,ug/piece,225.311,0.0000,5.9911,,Peer review of the pesticide risk assessment of the active substance methiocarb 20181030,https://doi.org/doi:10.2903/j.efsa.2018.5429,,920747,ToxVal00035_f9e8c37e1e2a683f
,"N-(3,4-Dichlorophenyl)propanamide",709-98-8,CCC(Nc(cc1)cc(Cl)c1Cl)=O,DTXSID8022111,,2468,2468_EFSADB,EFSA,EFSA,acute,eco,honey bee,oral,>,100,ug/piece,218.082,0.0005,3.3386,,Peer review of the pesticide risk assessment of the active substance propanil 20181220,https://doi.org/doi:10.2903/j.efsa.2018.5418,,920748,ToxVal00035_b312dfcde8898c14
